Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
2005,nyb,Team Totals,0,1516,20.2,46,,75,0,,,,44,2,3
2005,nyb,Opponents Totals,0,1404,23.0,82,,61,0,,,,,,
2005,sea,Team Totals,0,1347,22.1,53,,61,1,,,,38,2,2
2005,sea,Opponents Totals,1,1802,22.0,99t,,82,0,,,,,,
2005,dec,Team Totals,1,1580,21.4,99t,,74,0,,,,34,2,3
2005,dec,Opponents Totals,0,1781,25.4,90,,70,0,,,,,,
2005,lne,Team Totals,0,1719,22.6,90,,76,0,,,,48,4,1
2005,lne,Opponents Totals,3,1700,28.3,95t,,60,0,,,,,,
2005,lari,Team Totals,0,1540,19.0,40,,81,0,,,,38,1,1
2005,lari,Opponents Totals,0,960,20.0,35,,48,0,,,,,0,
2006,lkc,Team Totals,1,1553,26.8,93t,,58,0,,,,41,5,0
2006,lkc,Opponents Totals,0,1547,22.8,70,,68,0,,,,,,
2006,har,Team Totals,2,1445,24.1,103t,,60,0,,,,36,8,1
2006,har,Opponents Totals,0,1462,21.2,39,,69,0,,,,,0,
2006,llarm,Team Totals,0,1503,23.9,88,,63,0,,,,41,6,2
2006,llarm,Opponents Totals,0,1279,21.3,74,,60,3,,,,,,
2006,min,Team Totals,0,1102,21.2,46,,52,2,,,,29,2,0
2006,min,Opponents Totals,0,981,24.5,51,,40,0,,,,,,
2006,larm,Team Totals,0,1046,23.2,72,,45,0,,,,30,2,0
2006,larm,Opponents Totals,0,1636,21.8,46,,75,1,,,,,,
2006,bal,Team Totals,0,1209,20.5,38,,59,1,,,,31,0,2
2006,bal,Opponents Totals,0,1472,21.0,49,,70,0,,,,,,
2006,lten,Team Totals,0,1214,22.1,76,,55,0,,,,36,3,3
2006,lten,Opponents Totals,1,1570,22.4,92t,,70,2,,,,,,
2006,dul,Team Totals,1,1635,23.0,92t,,71,0,,,,40,7,1
2006,dul,Opponents Totals,1,1053,21.9,99t,,48,0,,,,,,
2006,atl,Team Totals,0,1368,23.6,70,,58,0,,,,36,5,2
2006,atl,Opponents Totals,2,2029,26.0,103t,,78,0,,,,,,
2006,ham,Team Totals,0,1835,23.2,70,,79,0,,,,51,4,2
2006,ham,Opponents Totals,0,1263,21.8,52,,58,0,,,,,,
2006,jac,Team Totals,1,1136,23.2,93t,,49,0,,,,29,5,0
2006,jac,Opponents Totals,0,1262,21.0,70,,60,0,,,,,,
2006,lind,Team Totals,0,1609,22.7,87,,71,0,,,,43,3,3
2006,lind,Opponents Totals,1,1215,23.4,93t,,52,0,,,,,,
2006,was,Team Totals,0,1350,24.5,91,,55,1,,,,39,8,2
2006,was,Opponents Totals,0,1960,21.8,53,,90,0,,,,,,
2006,col,Team Totals,0,1404,21.9,60,,64,0,,,,40,4,1
2006,col,Opponents Totals,0,1646,23.2,58,,71,0,,,,,,
2006,tol,Team Totals,0,1187,22.0,64,,54,0,,,,36,3,2
2006,tol,Opponents Totals,0,1480,26.9,60,,55,0,,,,,,
2006,ltb,Team Totals,0,1811,24.8,50,,73,0,,,,56,3,0
2006,ltb,Opponents Totals,0,1200,28.6,91,,42,0,,,,,,
2006,lmin,Team Totals,0,1204,20.8,64,,58,0,,,,27,2,4
2006,lmin,Opponents Totals,0,1647,23.2,41,,71,0,,,,,,
2006,c-p,Team Totals,0,1493,23.3,41,,64,0,,,,45,1,3
2006,c-p,Opponents Totals,1,1571,19.6,100t,,80,0,,,,,,
2006,chit,Team Totals,0,1407,20.1,51,,70,0,,,,43,1,1
2006,chit,Opponents Totals,0,1455,22.4,64,,65,0,,,,,,
2006,nyj,Team Totals,1,1631,22.3,100t,,73,1,,,,48,2,0
2006,nyj,Opponents Totals,0,1396,20.8,44,,67,0,,,,,,
2006,dal,Team Totals,2,1373,23.3,96t,,59,0,,,,35,3,4
2006,dal,Opponents Totals,0,1730,20.8,35,,83,0,,,,,0,
2006,latl,Team Totals,0,1379,19.7,35,,70,0,,,,36,0,1
2006,latl,Opponents Totals,0,1348,22.5,61,,60,0,,,,,,
2006,lbuf,Team Totals,0,1492,22.6,65,,66,1,,,,42,3,1
2006,lbuf,Opponents Totals,1,1369,23.2,99t,,59,0,,,,,,
2006,stl,Team Totals,0,1648,22.3,65,,74,0,,,,45,4,0
2006,stl,Opponents Totals,0,1444,22.9,72,,63,0,,,,,,
2006,det,Team Totals,0,1377,23.0,51,,60,0,,,,34,4,2
2006,det,Opponents Totals,0,1598,22.2,40,,72,0,,,,,,
2006,lac,Team Totals,0,1200,19.4,39,,62,1,,,,31,0,2
2006,lac,Opponents Totals,0,1302,22.1,64,,59,0,,,,,,
2006,ton,Team Totals,0,1542,22.7,51,,68,0,,,,47,3,2
2006,ton,Opponents Totals,0,1093,20.6,59,,53,0,,,,,,
2006,nyb,Team Totals,0,1307,21.4,44,,61,0,,,,36,1,1
2006,nyb,Opponents Totals,0,846,18.4,34,,46,1,,,,,0,
2006,sea,Team Totals,0,1548,22.4,50,,69,0,,,,45,3,0
2006,sea,Opponents Totals,0,1499,24.6,51,,61,0,,,,,,
2006,dec,Team Totals,0,1383,21.3,40,,65,0,,,,41,2,2
2006,dec,Opponents Totals,2,1701,24.7,96t,,69,0,,,,,,
2006,lne,Team Totals,0,1907,24.1,64,,79,0,,,,57,4,2
2006,lne,Opponents Totals,0,1373,21.1,47,,65,0,,,,,,
2006,lari,Team Totals,1,1610,22.1,99t,,73,0,,,,39,3,2
2006,lari,Opponents Totals,0,1481,25.5,64,,58,0,,,,,,
2007,lkc,Team Totals,2,1384,25.2,108t,,55,2,,,,35,4,1
2007,lkc,Opponents Totals,1,2030,22.1,74t,,92,2,,,,,,
2007,har,Team Totals,1,1448,20.7,103t,,70,0,,,,33,4,1
2007,har,Opponents Totals,1,1150,20.5,100t,,56,2,,,,,,
2007,llarm,Team Totals,3,1695,22.9,98t,,74,0,,,,46,5,3
2007,llarm,Opponents Totals,1,1270,24.9,108t,,51,0,,,,,,
2007,min,Team Totals,0,1552,19.9,52,,78,2,,,,40,2,1
2007,min,Opponents Totals,2,1292,25.8,98t,,50,1,,,,,,
2007,larm,Team Totals,1,1145,22.0,98t,,52,1,,,,33,1,1
2007,larm,Opponents Totals,1,1647,22.6,100t,,73,0,,,,,,
2007,bal,Team Totals,2,1943,27.0,100t,,72,0,,,,50,7,1
2007,bal,Opponents Totals,0,1590,20.9,65,,76,2,,,,,,
2007,lten,Team Totals,1,1684,23.1,100t,,73,2,,,,45,3,4
2007,lten,Opponents Totals,0,1732,22.8,85,,76,1,,,,,,
2007,dul,Team Totals,1,1525,23.5,94t,,65,1,,,,33,6,4
2007,dul,Opponents Totals,0,1444,23.7,50,,61,0,,,,,,
2007,atl,Team Totals,0,1157,21.8,47,,53,0,,,,33,2,1
2007,atl,Opponents Totals,3,2029,25.0,94t,,81,0,,,,,,
2007,ham,Team Totals,1,1110,22.7,100t,,49,0,,,,25,4,0
2007,ham,Opponents Totals,2,1323,19.7,104t,,67,0,,,,,,
2007,jac,Team Totals,0,1098,21.1,48,,52,0,,,,25,3,1
2007,jac,Opponents Totals,0,1404,24.2,76,,58,0,,,,,,
2007,lind,Team Totals,4,1961,26.5,104t,,74,0,,,,47,5,0
2007,lind,Opponents Totals,0,1593,23.1,52,,69,0,,,,,,
2007,was,Team Totals,1,1224,25.5,89t,,48,1,,,,34,5,0
2007,was,Opponents Totals,0,1566,20.9,62,,75,0,,,,,,
2007,col,Team Totals,0,1293,22.3,35,,58,0,,,,41,0,0
2007,col,Opponents Totals,1,1424,23.0,88t,,62,0,,,,,,
2007,tol,Team Totals,0,1286,19.2,39,,67,0,,,,34,0,1
2007,tol,Opponents Totals,0,1105,21.7,42,,51,0,,,,,,
2007,ltb,Team Totals,0,1686,21.6,43,,78,0,,,,50,2,0
2007,ltb,Opponents Totals,1,963,22.4,99t,,43,0,,,,,,
2007,lmin,Team Totals,0,1358,22.3,72,,61,0,,,,34,3,1
2007,lmin,Opponents Totals,1,1979,23.0,103t,,86,1,,,,,,
2007,c-p,Team Totals,1,1579,23.9,74t,,66,0,,,,43,2,2
2007,c-p,Opponents Totals,1,1596,23.1,98t,,69,0,,,,,,
2007,chit,Team Totals,0,1544,23.8,80,,65,0,,,,45,2,0
2007,chit,Opponents Totals,1,1289,19.5,86t,,66,0,,,,,,
2007,nyj,Team Totals,0,1539,21.7,35,,71,0,,,,46,0,2
2007,nyj,Opponents Totals,0,1536,22.3,51,,69,0,,,,,,
2007,dal,Team Totals,0,1349,21.8,67,,62,0,,,,35,5,0
2007,dal,Opponents Totals,0,1610,20.9,74,,77,0,,,,,,
2007,latl,Team Totals,1,1461,24.8,104t,,59,0,,,,36,6,1
2007,latl,Opponents Totals,0,1441,22.2,55,,65,0,,,,,,
2007,lbuf,Team Totals,1,1628,22.6,74,,72,0,,,,41,3,1
2007,lbuf,Opponents Totals,2,1750,26.9,104t,,65,0,,,,,,
2007,stl,Team Totals,2,1234,18.4,97t,,67,0,,,,27,2,2
2007,stl,Opponents Totals,1,1370,19.3,65,,71,0,,,,,,
2007,det,Team Totals,1,1119,23.3,90t,,48,0,,,,32,2,0
2007,det,Opponents Totals,1,1328,19.5,97t,,68,1,,,,,,
2007,lac,Team Totals,0,1146,19.1,60,,60,1,,,,25,2,1
2007,lac,Opponents Totals,0,1333,23.8,84,,56,0,,,,,,
2007,ton,Team Totals,0,1513,21.3,64,,71,0,,,,47,2,0
2007,ton,Opponents Totals,1,1256,22.4,100t,,56,0,,,,,,
2007,nyb,Team Totals,0,1781,24.7,76,,72,0,,,,52,5,0
2007,nyb,Opponents Totals,1,1148,23.0,90t,,50,0,,,,,,
2007,sea,Team Totals,2,1173,22.1,91t,,53,2,,,,28,4,2
2007,sea,Opponents Totals,0,1790,24.9,61,,72,0,,,,,,
2007,dec,Team Totals,0,1682,22.7,59,,74,0,,,,45,4,0
2007,dec,Opponents Totals,0,1389,23.2,80,,60,1,,,,,,
2007,lne,Team Totals,0,1702,23.3,55,,73,0,,,,47,4,2
2007,lne,Opponents Totals,1,982,21.8,98t,,45,0,,,,,,
2007,lari,Team Totals,0,1938,23.6,84,,82,0,,,,57,3,2
2007,lari,Opponents Totals,2,1578,27.2,91t,,58,1,,,,,,
2008,lkc,Team Totals,0,1213,20.2,60,,60,0,,,,31,2,1
2008,lkc,Opponents Totals,0,1655,24.3,95,,68,0,,,,,,
2008,har,Team Totals,1,1562,25.2,95t,,62,0,,,,40,7,3
2008,har,Opponents Totals,2,1672,22.3,92t,,75,1,,,,,,
2008,llarm,Team Totals,1,1407,23.1,94,,61,0,,,,31,7,2
2008,llarm,Opponents Totals,0,1568,21.5,44,,73,1,,,,,,
2008,min,Team Totals,1,1816,24.2,98t,,75,0,,,,43,7,1
2008,min,Opponents Totals,0,1247,19.8,69,,63,2,,,,,,
2008,larm,Team Totals,0,1013,20.3,43,,50,1,,,,27,1,1
2008,larm,Opponents Totals,0,1357,19.1,40,,71,0,,,,,,
2008,bal,Team Totals,0,1007,20.1,39,,50,0,,,,28,0,1
2008,bal,Opponents Totals,2,1720,22.6,100t,,76,0,,,,,,
2008,lten,Team Totals,0,1551,23.1,60,,67,0,,,,39,6,1
2008,lten,Opponents Totals,0,1059,22.5,87,,47,0,,,,,,
2008,dul,Team Totals,1,1312,22.6,92t,,58,0,,,,36,4,0
2008,dul,Opponents Totals,1,1228,23.2,98t,,53,1,,,,,,
2008,atl,Team Totals,0,1319,25.4,52,,52,0,,,,41,5,0
2008,atl,Opponents Totals,0,1524,25.0,59,,61,0,,,,,,
2008,ham,Team Totals,0,1312,20.8,46,,63,0,,,,37,1,0
2008,ham,Opponents Totals,0,1700,24.3,50,,70,0,,,,,,
2008,jac,Team Totals,0,1550,21.5,50,,72,0,,,,42,1,0
2008,jac,Opponents Totals,0,1630,22.3,49,,73,0,,,,,,
2008,lind,Team Totals,0,1678,22.7,51,,74,0,,,,50,3,2
2008,lind,Opponents Totals,0,1015,19.9,52,,51,0,,,,,,
2008,was,Team Totals,1,1485,24.0,103t,,62,0,,,,43,6,3
2008,was,Opponents Totals,1,1943,22.6,94,,86,0,,,,,,
2008,col,Team Totals,0,1550,21.8,95,,71,1,,,,46,3,1
2008,col,Opponents Totals,1,1554,24.7,103t,,63,0,,,,,,
2008,tol,Team Totals,2,1777,22.8,92t,,78,1,,,,40,7,3
2008,tol,Opponents Totals,1,1074,24.4,95t,,44,0,,,,,,
2008,ltb,Team Totals,0,1716,21.5,59,,80,0,,,,44,3,3
2008,ltb,Opponents Totals,1,1465,23.6,97t,,62,0,,,,,,
2008,lmin,Team Totals,0,1284,23.3,83,,55,0,,,,34,3,1
2008,lmin,Opponents Totals,0,1912,22.5,55,,85,1,,,,,,
2008,c-p,Team Totals,1,1411,23.5,100t,,60,0,,,,34,5,1
2008,c-p,Opponents Totals,1,1698,22.6,98t,,75,0,,,,,,
2008,chit,Team Totals,1,1554,22.2,98t,,70,0,,,,41,4,2
2008,chit,Opponents Totals,1,1510,21.3,93t,,71,0,,,,,,
2008,nyj,Team Totals,0,1382,25.1,87,,55,1,,,,39,4,0
2008,nyj,Opponents Totals,0,1103,20.1,55,,55,0,,,,,,
2008,dal,Team Totals,0,1369,22.4,49,,61,0,,,,35,3,2
2008,dal,Opponents Totals,0,1830,23.5,58,,78,0,,,,,,
2008,latl,Team Totals,1,1919,24.9,83t,,77,0,,,,51,11,2
2008,latl,Opponents Totals,0,1656,24.4,85,,68,1,,,,,,
2008,lbuf,Team Totals,0,1387,20.1,45,,69,0,,,,37,3,0
2008,lbuf,Opponents Totals,0,1687,23.4,70,,72,0,,,,,,
2008,stl,Team Totals,0,1807,21.8,46,,83,0,,,,52,2,4
2008,stl,Opponents Totals,0,1332,23.4,60,,57,0,,,,,,
2008,det,Team Totals,0,1372,22.9,59,,60,0,,,,37,4,0
2008,det,Opponents Totals,0,1292,21.9,46,,59,0,,,,,,
2008,lac,Team Totals,0,1408,23.9,92,,59,0,,,,37,4,1
2008,lac,Opponents Totals,0,1536,21.6,88,,71,0,,,,,,
2008,ton,Team Totals,1,1486,24.8,97t,,60,0,,,,40,4,3
2008,ton,Opponents Totals,0,1542,20.8,61,,74,0,,,,,,
2008,nyb,Team Totals,0,1496,24.1,88,,62,1,,,,36,8,1
2008,nyb,Opponents Totals,1,1827,24.0,83t,,76,0,,,,,,
2008,sea,Team Totals,1,1630,21.7,93t,,75,1,,,,45,3,1
2008,sea,Opponents Totals,1,1724,25.0,104t,,69,0,,,,,,
2008,dec,Team Totals,1,1767,23.3,104t,,76,0,,,,47,4,2
2008,dec,Opponents Totals,0,1515,23.3,63,,65,0,,,,,,
2008,lne,Team Totals,0,1948,25.3,61,,77,1,,,,53,8,3
2008,lne,Opponents Totals,0,1205,25.6,58,,47,0,,,,,,
2008,lari,Team Totals,0,1761,22.0,75,,80,0,,,,54,2,1
2008,lari,Opponents Totals,0,1469,26.2,92,,56,0,,,,,,
2009,lkc,Team Totals,0,1226,22.7,52,,54,0,,,,39,1,0
2009,lkc,Opponents Totals,0,1705,24.4,51,,70,0,,,,,,
2009,har,Team Totals,1,1074,24.4,106t,,44,0,,,,28,4,0
2009,har,Opponents Totals,2,1685,24.1,101t,,70,1,,,,,,
2009,llarm,Team Totals,2,1739,23.2,101t,,75,1,,,,45,1,1
2009,llarm,Opponents Totals,0,1557,21.9,87,,71,0,,,,,,
2009,min,Team Totals,0,1517,23.7,71,,64,1,,,,38,3,3
2009,min,Opponents Totals,0,1271,21.5,52,,59,2,,,,,,
2009,larm,Team Totals,1,1356,21.9,96t,,62,1,,,,30,2,2
2009,larm,Opponents Totals,0,1289,22.2,58,,58,0,,,,,,
2009,bal,Team Totals,1,1547,26.2,95t,,59,0,,,,39,7,2
2009,bal,Opponents Totals,0,1565,20.3,53,,77,2,,,,,,
2009,lten,Team Totals,0,1581,24.0,83,,66,2,,,,44,4,1
2009,lten,Opponents Totals,4,1795,24.3,98t,,74,3,,,,,,
2009,dul,Team Totals,3,1670,24.2,103t,,69,1,,,,40,6,1
2009,dul,Opponents Totals,0,984,18.9,46,,52,2,,,,,,
2009,atl,Team Totals,1,1219,22.2,93t,,55,0,,,,30,1,0
2009,atl,Opponents Totals,1,1519,25.3,106t,,60,0,,,,,,
2009,ham,Team Totals, 1,1449,22.6,95t,,64,0,,,,42,2,0
2009,ham,Opponents Totals,0,1597,22.5,71,,71,0,,,,,,
2009,jac,Team Totals,0,1417,20.5,56,,69,0,,,,37,1,1
2009,jac,Opponents Totals,1,1714,24.1,99t,,71,0,,,,,,
2009,lind,Team Totals,0,1492,22.6,43,,66,0,,,,44,5,1
2009,lind,Opponents Totals,1,1069,22.7,93t,,47,0,,,,,,
2009,was,Team Totals,0,1442,22.9,66,,63,0,,,,38,5,0
2009,was,Opponents Totals,1,1909,21.9,93t,,87,0,,,,,,
2009,col,Team Totals,1,1217,21.4,93t,,57,0,,,,33,2,2
2009,col,Opponents Totals,1,1115,22.8,95t,,49,0,,,,,,
2009,tol,Team Totals,0,1199,18.2,60,,66,0,,,,25,2,1
2009,tol,Opponents Totals,1,1078,25.7,95t,,42,0,,,,,,
2009,ltb,Team Totals,1,1666,21.6,97t,,77,0,,,,45,5,3
2009,ltb,Opponents Totals,2,1446,24.1,103t,,60,0,,,,,,
2009,lmin,Team Totals,0,1032,22.0,41,,47,0,,,,28,2,2
2009,lmin,Opponents Totals,0,967,20.6,67,,47,0,,,,,,
2009,c-p,Team Totals,0,1191,20.5,63,,58,0,,,,29,2,4
2009,c-p,Opponents Totals,0,1907,23.5,52,,81,0,,,,,,
2009,chit,Team Totals,0,1482,20.9,68,,71,0,,,,28,3,3
2009,chit,Opponents Totals,0,1619,21.0,53,,77,1,,,,,,
2009,nyj,Team Totals,0,1413,21.7,42,,65,0,,,,44,1,0
2009,nyj,Opponents Totals,0,1104,19.7,55,,56,0,,,,,,
2009,dal,Team Totals,2,1297,23.2,101t,,56,1,,,,30,5,1
2009,dal,Opponents Totals,0,2060,22.6,77,,91,1,,,,,,
2009,latl,Team Totals,0,1193,22.1,54,,54,2,,,,34,2,2
2009,latl,Opponents Totals,0,1824,22.8,83,,80,0,,,,,,
2009,lbuf,Team Totals,1,1999,25.0,102t,,80,0,,,,49,9,2
2009,lbuf,Opponents Totals,0,1552,24.3,62,,64,0,,,,,,
2009,stl,Team Totals,0,2050,21.4,87,,96,0,,,,52,4,2
2009,stl,Opponents Totals,1,1353,23.3,102t,,58,0,,,,,,
2009,det,Team Totals,1,1393,24.4,97t,,57,0,,,,38,5,2
2009,det,Opponents Totals,0,1813,24.5,87,,74,0,,,,,,
2009,lac,Team Totals,0,1336,24.3,62,,55,0,,,,39,2,2
2009,lac,Opponents Totals,0,945,20.5,39,,46,0,,,,,0,
2009,ton,Team Totals,0,1015,19.9,55,,51,0,,,,26,1,0
2009,ton,Opponents Totals,1,1267,24.8,97t,,51,0,,,,,,
2009,nyb,Team Totals,1,1630,26.3,97t,,62,2,,,,47,2,0
2009,nyb,Opponents Totals,0,878,19.1,37,,46,0,,,,,0,
2009,sea,Team Totals,1,1284,23.8,99t,,54,0,,,,40,2,0
2009,sea,Opponents Totals,0,1248,20.5,63,,61,0,,,,,,
2009,dec,Team Totals,0,1135,21.8,76,,52,1,,,,32,4,2
2009,dec,Opponents Totals,1,1415,21.8,101t,,65,0,,,,,,
2009,lne,Team Totals,0,1136,18.9,46,,60,0,,,,37,4,2
2009,lne,Opponents Totals,0,1059,23.0,53,,46,0,,,,,,
2009,lari,Team Totals,0,1764,23.2,58,,76,0,,,,53,5,1
2009,lari,Opponents Totals,1,1032,24.0,97t,,43,0,,,,,,
2010,lkc,Team Totals,2,1231,22.0,103t,,56,1,,,,28,3,1
2010,lkc,Opponents Totals,1,1826,22.5,95t,,81,1,,,,,,
2010,har,Team Totals,2,1588,25.2,97t,,63,0,,,,35,6,0
2010,har,Opponents Totals,0,1428,19.6,44,,73,0,,,,,,
2010,llarm,Team Totals,0,1199,21.4,46,,56,1,,,,30,2,1
2010,llarm,Opponents Totals,2,1303,24.6,103t,,53,0,,,,,,
2010,min,Team Totals,1,1458,21.1,95t,,69,0,,,,36,3,4
2010,min,Opponents Totals,0,1238,21.7,51,,57,1,,,,,,
2010,larm,Team Totals,1,1153,23.5,97t,,49,0,,,,37,3,2
2010,larm,Opponents Totals,1,1540,20.0,97t,,77,0,,,,,,
2010,bal,Team Totals,1,1357,24.7,103t,,55,1,,,,26,2,2
2010,bal,Opponents Totals,0,987,26.0,64,,38,0,,,,,,
2010,lten,Team Totals,0,1191,17.0,37,,70,0,,,,25,0,3
2010,lten,Opponents Totals,0,959,17.8,32,,54,2,,,,,0,
2010,dul,Team Totals,0,1551,21.8,60,,71,0,,,,40,4,2
2010,dul,Opponents Totals,2,1504,23.5,97t,,64,0,,,,,,
2010,atl,Team Totals,1,1310,19.6,41t,,67,0,,,,35,1,1
2010,atl,Opponents Totals,1,1880,25.8,99t,,73,0,,,,,,
2010,ham,Team Totals,0,1903,23.8,65,,80,0,,,,55,5,33
2010,ham,Opponents Totals,1,1266,21.5,46,,59,0,,,,,,
2010,jac,Team Totals,0,1326,19.8,50,,67,0,,,,39,1,0
2010,jac,Opponents Totals,1,1741,24.2,103t,,72,0,,,,,,
2010,lind,Team Totals,1,1556,24.3,98t,,64,0,,,,42,4,2
2010,lind,Opponents Totals,1,1389,24.8,97t,,56,0,,,,,,
2010,was,Team Totals,0,1140,19.7,36,,58,1,,,,28,0,1
2010,was,Opponents Totals,1,1336,20.2,94t,,66,0,,,,,,
2010,col,Team Totals,0,1342,24.0,45,,56,0,,,,39,2,1
2010,col,Opponents Totals,3,1880,22.4,101t,,84,0,,,,,,
2010,tol,Team Totals,3,1532,22.5,101t,,68,0,,,,33,4,4
2010,tol,Opponents Totals,1,1412,23.1,102t,,61,1,,,,,,
2010,ltb,Team Totals,1,1435,24.3,97t,,59,0,,,,35,4,4
2010,ltb,Opponents Totals,1,1259,24.7,89t,,51,0,,,,,,
2010,lmin,Team Totals,0,1272,20.5,46,,62,1,,,,35,2,3
2010,lmin,Opponents Totals,0,1502,21.8,61,,69,0,,,,,,
2010,c-p,Team Totals,0,1082,19.0,42,,57,0,,,,27,1,0
2010,c-p,Opponents Totals,0,1515,19.7,58,,77,0,,,,,,
2010,chit,Team Totals,0,1572,21.2,43,,74,0,,,,41,4,2
2010,chit,Opponents Totals,1,1363,24.3,95t,,56,1,,,,,,
2010,nyj,Team Totals,1,1680,23.0,96t,,73,0,,,,48,5,2
2010,nyj,Opponents Totals,0,1160,19.0,38,,61,0,,,,,0,
2010,dal,Team Totals,0,1497,25.4,79,,59,1,,,,38,10,1
2010,dal,Opponents Totals,0,1404,23.8,60,,59,0,,,,,,
2010,latl,Team Totals,0,1249,20.1,51,,62,0,,,,31,5,2
2010,latl,Opponents Totals,0,1658,21.8,71,,76,0,,,,,,
2010,lbuf,Team Totals,1,1519,24.9,105t,,61,0,,,,43,5,1
2010,lbuf,Opponents Totals,1,1487,20.7,96t,,72,0,,,,,,
2010,stl,Team Totals,1,1427,22.3,95t,,64,1,,,,37,6,2
2010,stl,Opponents Totals,1,1455,23.9,96t,,61,1,,,,,,
2010,det,Team Totals,1,1221,26.5,102t,,46,0,,,,35,5,0
2010,det,Opponents Totals,1,1362,21.3,89t,,64,0,,,,,,
2010,lac,Team Totals,0,1181,22.7,39,,52,0,,,,39,0,1
2010,lac,Opponents Totals,0,1592,24.1,69,,66,0,,,,,,
2010,ton,Team Totals,1,1386,24.3,89t,,57,0,,,,36,4,1
2010,ton,Opponents Totals,1,1554,20.7,102t,,75,0,,,,,,
2010,nyb,Team Totals,0,1619,21.9,64,,74,0,,,,40,5,2
2010,nyb,Opponents Totals,0,1064,23.6,84,,45,0,,,,,,
2010,sea,Team Totals,3,1558,24.0,101t,,65,0,,,,35,7,2
2010,sea,Opponents Totals,0,1099,22.0,79,,50,0,,,,,,
2010,dec,Team Totals,0,1614,21.8,84,,74,0,,,,47,1,2
2010,dec,Opponents Totals,1,1538,23.7,105t,,65,0,,,,,,
2010,lne,Team Totals,0,1187,19.5,61,,61,0,,,,25,3,1
2010,lne,Opponents Totals,1,1485,22.2,92t,,67,0,,,,,,
2010,lari,Team Totals,2,2084,24.8,102t,,84,0,,,,53,7,1
2010,lari,Opponents Totals,0,1234,24.2,51,,51,0,,,,,,
2011,lkc,Team Totals,0,986,21.4,37,,46,0,,,,30,0,1
2011,lkc,Opponents Totals,0,1294,21.6,88,,60,0,,,,,,
2011,har,Team Totals,1,1633,26.3,107t,,62,0,,,,41,7,3
2011,har,Opponents Totals,0,1291,21.2,67,,61,0,,,,,,
2011,llarm,Team Totals,0,942,24.2,77,,39,0,,,,26,2,0
2011,llarm,Opponents Totals,0,937,22.9,54,,41,0,,,,,,
2011,min,Team Totals,0,853,23.1,54,,37,0,,,,26,3,0
2011,min,Opponents Totals,0,1144,20.4,59,,56,0,,,,,,
2011,larm,Team Totals,0,1047,24.9,77,,42,0,,,,31,3,4
2011,larm,Opponents Totals,1,1050,29.2,107t,,36,0,,,,,,
2011,bal,Team Totals,0,877,25.1,52,,35,0,,,,27,2,0
2011,bal,Opponents Totals,0,1018,23.7,45,,43,0,,,,,,
2011,lten,Team Totals,0,1026,22.8,45,,45,0,,,,30,1,3
2011,lten,Opponents Totals,0,916,20.8,51,,44,0,,,,,,
2011,dul,Team Totals,0,1134,23.6,63,,48,0,,,,32,3,0
2011,dul,Opponents Totals,1,1055,22.9,101t,,46,0,,,,,,
2011,atl,Team Totals,0,730,25.2,50,,29,0,,,,20,4,2
2011,atl,Opponents Totals,0,1030,22.4,63,,46,0,,,,,,
2011,ham,Team Totals,1,832,26.0,100t,,32,0,,,,25,3,1
2011,ham,Opponents Totals,0,680,22.7,77,,30,0,,,,,,
2011,jac,Team Totals,0,1055,22.4,37,,47,0,,,,33,0,1
2011,jac,Opponents Totals,0,632,24.3,46,,26,0,,,,,,
2011,lind,Team Totals,0,578,18.6,51,,31,0,,,,11,1,1
2011,lind,Opponents Totals,0,584,30.7,76,,19,0,,,,,,
2011,was,Team Totals,0,956,24.5,67,,39,0,,,,25,3,0
2011,was,Opponents Totals,0,491,24.6,40,,20,0,,,,,,
2011,col,Team Totals,1,1100,25.6,105t,,43,0,,,,33,3,0
2011,col,Opponents Totals,1,1451,25.5,103t,,57,0,,,,,,
2011,tol,Team Totals,1,1011,23.5,101t,,43,0,,,,21,4,1
2011,tol,Opponents Totals,1,1210,25.7,105t,,47,0,,,,,,
2011,ltb,Team Totals,0,479,10.4,35,,46,0,,,,26,0,2
2011,ltb,Opponents Totals,0,605,24.2,91,,25,0,,,,,,
2011,lmin,Team Totals,0,1209,23.3,40,,52,0,,,,37,1,0
2011,lmin,Opponents Totals,0,1053,22.9,42,,46,0,,,,,,
2011,c-p,Team Totals,0,815,20.9,33,,39,0,,,,24,0,1
2011,c-p,Opponents Totals,0,1178,23.1,51,,51,0,,,,,,
2011,chit,Team Totals,0,768,23.3,69,,33,0,,,,19,2,0
2011,chit,Opponents Totals,0,1114,21.4,43,,52,0,,,,,,
2011,nyj,Team Totals,0,1239,22.1,47,,56,0,,,,34,3,2
2011,nyj,Opponents Totals,0,749,20.8,51,,36,0,,,,,,
2011,dal,Team Totals,1,1005,24.5,108t,,41,0,,,,27,3,1
2011,dal,Opponents Totals,0,1378,23.4,57,,59,0,,,,,,
2011,latl,Team Totals,0,887,24.0,42,,37,0,,,,29,1,2
2011,latl,Opponents Totals,1,1255,25.6,101t,,49,0,,,,,,
2011,lbuf,Team Totals,1,1238,21.7,98t,,57,0,,,,29,4,0
2011,lbuf,Opponents Totals,0,855,24.4,44,,35,0,,,,,,
2011,stl,Team Totals,1,1428,26.9,104,,53,0,,,,39,5,1
